location_name,location_index,location_midpoint_lng,location_midpoint_lat,location_comments,survey_start_year,survey_start_month,survey_start_day,survey_end_year,survey_end_month,survey_end_day,survey_time,survey_comments,personnel_list,sponsor_list,document_list,species_common_name,species_abundance,site_use,data_quality,breeding_individuals,total_individuals,count_conversions,best_current_value,status_record_comments,,,,,,,,,,,,,,
Kaligagan Islets #2,AK Map 24 Site 26,-164.98169,54.14309,,1980,7,2,1980,7,2,,,"Douglas Forsell, Jeffery Kogan, David Nysewander, Donald Shields",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Good,15198,,2x census data value,TRUE,Estimate based on 65% assumed burrow occupied.,,,,,,,,,,,,,,
Kaligagan Islets #2,AK Map 24 Site 26,-164.98169,54.14309,,1996,6,18,1996,6,18,,,"G Byrd <vernon_byrd@fws.gov>, Laura Greffinius, Greg Snedgen, Art Wemmerus, Gary Wheeler, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Byrd, G.V. and J.C. Williams. 1996. Seabird and marine mammal surveys in the central and eastern Aleutian Islands, Alaska, in June 1996",Tufted Puffin,Unspecified,Breeding,Fair,,3000,3x census data value,FALSE,Estimated thousands.  Established 2 circular 100m² plots.,,,,,,,,,,,,,,
Kaligagan Islets #3,AK Map 24 Site 27,-164.9786,54.1525,,1996,6,18,1996,6,18,,,"G Byrd <vernon_byrd@fws.gov>, Laura Greffinius, Greg Snedgen, Art Wemmerus, Gary Wheeler, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Byrd, G.V. and J.C. Williams. 1996. Seabird and marine mammal surveys in the central and eastern Aleutian Islands, Alaska, in June 1996",Tufted Puffin,Unspecified,Breeding,Fair,,3000,3x census data value,TRUE,Estimated thousands.,,,,,,,,,,,,,,
Kaligagan Islets #4,AK Map 24 Site 29,-164.95829,54.1544,,1996,6,18,1996,6,18,,,"G Byrd <vernon_byrd@fws.gov>, Laura Greffinius, Greg Snedgen, Art Wemmerus, Gary Wheeler, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Byrd, G.V. and J.C. Williams. 1996. Seabird and marine mammal surveys in the central and eastern Aleutian Islands, Alaska, in June 1996",Tufted Puffin,Unspecified,Breeding,Fair,,3000,3x census data value,TRUE,Estimated thousands.,,,,,,,,,,,,,,
Kaligagan Islets #5,AK Map 24 Site 31,-164.9331,54.15249,,1980,6,22,1980,6,22,,,"Douglas Forsell, Jeffery Kogan, David Nysewander, Donald Shields",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Fair,260,,2x census data value,TRUE,Estimate based on 65% assumed burrow occupied.,,,,,,,,,,,,,,
Kaligagan Islets #5,AK Map 24 Site 31,-164.9331,54.15249,,1996,6,18,1996,6,18,,,"G Byrd <vernon_byrd@fws.gov>, Laura Greffinius, Greg Snedgen, Art Wemmerus, Gary Wheeler, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Byrd, G.V. and J.C. Williams. 1996. Seabird and marine mammal surveys in the central and eastern Aleutian Islands, Alaska, in June 1996",Tufted Puffin,Unspecified,Breeding,Fair,,3000,3x census data value,FALSE,Estimated thousands.,,,,,,,,,,,,,,
Kaligagan Islets #6,AK Map 24 Site 28,-164.98059,54.16189,,1980,7,2,1980,7,2,,,"Douglas Forsell, Jeffery Kogan, David Nysewander, Donald Shields",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Good,668,,2x census data value,TRUE,Estimate based on 65% assumed burrow occupied.,,,,,,,,,,,,,,
Kaligagan Islets #6,AK Map 24 Site 28,-164.98059,54.16189,,1996,6,18,1996,6,18,,,"G Byrd <vernon_byrd@fws.gov>, Laura Greffinius, Greg Snedgen, Art Wemmerus, Gary Wheeler, Jeffrey Williams <Jeff_Williams@fws.gov>",,"Byrd, G.V. and J.C. Williams. 1996. Seabird and marine mammal surveys in the central and eastern Aleutian Islands, Alaska, in June 1996",Tufted Puffin,Unspecified,Breeding,Fair,,3000,3x census data value,FALSE,Estimated thousands.,,,,,,,,,,,,,,
Kalsin Island,AK Map 34 Site 47,-152.4028,57.66169,For data on Jug Is. see (034 109).,1975,8,6,1975,8,6,,,"Matthew Dick, Richard MacIntosh",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Poor,,100,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kalsin Island,AK Map 34 Site 47,-152.4028,57.66169,For data on Jug Is. see (034 109).,1992,8,13,1992,8,13,,,Janey Fadely,,"Zwiefelhoffer, D.C. and M.B. Cody. 1992. Unpublished Data",Tufted Puffin,Present,Unspecified,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kalsin Island,AK Map 34 Site 47,-152.4028,57.66169,For data on Jug Is. see (034 109).,1994,6,6,1994,6,6,,,"David Duffy, Toby Sanborn, Judy Sherburne",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Poor,,,Literal (equal to census data value),TRUE,Many on water.,,,,,,,,,,,,,,
Kamishak Islands,AK Map 51 Site 32,-153.8819,59.11029,,1978,,,1978,,,,,"Paul Arneson, James Butcher",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,200,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kamishak Islands,AK Map 51 Site 32,-153.8819,59.11029,,1989,6,26,1989,8,26,,"Census conducted from June 26 through August 26, 1989.","Heidi Herendeen, Christian Martin",,"Martin, C.J.. 1989. Inventory of coastal seabirds in Katmai National Park and Preserve during 1989",Tufted Puffin,Present,Breeding,Fair,38,,2x census data value,TRUE,Minimum estimate.,,,,,,,,,,,,,,
Kanaga I.(Deceit Pt),AK Map 17 Site 3,-177.32226,51.69315,,1972,6,,1972,6,,,,Palmer Sekora,,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding,Fair,,800,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kanaga I.(Deceit Pt),AK Map 17 Site 3,-177.32226,51.69315,,1977,7,6,1977,7,6,,,"Robert Day, Tom Early, Eric Knudtson",,"Day, R.H., T.J. Early, and E.P. Knudtson. 1978. A bird and mammal survey of the west-central Aleutians, summer, 1977",Tufted Puffin,Unspecified,Breeding,Fair,2300,,2x census data value,TRUE,,,,,,,,,,,,,,,
Kanaga I.(Except Deceit Pt.),AK Map 17 Site 6,-177.24999,51.74999,,1977,7,6,1977,7,6,,,"Robert Day, Tom Early, Eric Knudtson",,"Day, R.H., T.J. Early, and E.P. Knudtson. 1978. A bird and mammal survey of the west-central Aleutians, summer, 1977",Tufted Puffin,Unspecified,Breeding,Fair,14500,,2x census data value,TRUE,Pair # = (indiv x 5) ÷ 2.,,,,,,,,,,,,,,
Kanatak Lagoon,AK Map 36 Site 10,-156.04389,57.51939,Includes island at mouth of lagoon.,1976,7,4,1976,7,4,,,"Patrick Gould, Kevin Powers",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,100,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kanatak Lagoon,AK Map 36 Site 10,-156.04389,57.51939,Includes island at mouth of lagoon.,1990,6,22,1990,6,22,,,"Donna Dewherst <donna_dewherst@fws.gov>, Gregory Thomson <greg_thomson@fws.gov>",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kanatak Lagoon,AK Map 36 Site 10,-156.04389,57.51939,Includes island at mouth of lagoon.,1995,5,20,1995,5,20,,,"Donna Dewherst <donna_dewherst@fws.gov>, Heather Moore",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kanatak Lagoon,AK Map 36 Site 10,-156.04389,57.51939,Includes island at mouth of lagoon.,1999,7,26,1999,7,26,,,"Robert Blush, Susan Savage <susan_savage@fws.gov>, Melanie Spies",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Unspecified,Poor,,2,Literal (equal to census data value),TRUE,Count of birds on water and flying.,,,,,,,,,,,,,,
Kangee Cliffs,AK Map 93 Site 32,-170.84657,63.59062,See 093-003 for historical data.,1996,7,7,1996,7,7,,Censused from 17ft inflatable 20-30 meters offshore. Cliffs divided into sections for easier counting.,"Edgar Bailey, Benjamin Pungowiyi, Caleb Pungowiyi, Shawn Stephensen",,"Stephensen, S.W., C. Pungowiyi, and V.M. Mendenhall. 1998. A seabird survey of Saint Lawrence Island, Alaska 1996-1997, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Present,Breeding,Fair,,42,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,Minimum count.,,,,,,,,,,,,,,
Kanu Island,AK Map 17 Site 44,-176.04184,51.94334,,1980,6,26,1980,6,26,,,"Tom Early, Kent Hall, Bev Minn",,"Early, T.. 1981. Results of a bird and mammal survey in the central Aleutian Islands, summer 1980",Tufted Puffin,Unspecified,Breeding,Fair,26,,2x census data value,TRUE,Pair # = (indiv x 5) ÷ 2.,,,,,,,,,,,,,,
Karpa Island,AK Map 28 Site 39,-160.04779,55.51139,,1973,6,9,1973,6,9,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Karpa Island,AK Map 28 Site 39,-160.04779,55.51139,,1977,7,,1977,7,,,,"Edgar Bailey, Nina Faust",,"Bailey, E.P.. 1978. Breeding seabird distribution and abundance in the Shumagin Islands, Alaska",Tufted Puffin,Unspecified,Breeding,Fair,10000,,2x census data value,FALSE,,,,,,,,,,,,,,,
Karpa Island,AK Map 28 Site 39,-160.04779,55.51139,,1990,5,31,1990,5,31,,Aerial survey with helicopter.,"Donna Dewherst <donna_dewherst@fws.gov>, Gregory Thomson <greg_thomson@fws.gov>",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,8000,"Observer's data were ""Greater than N"" or ""At least N"".  Catalog data are N.",TRUE,Minimum estimate flying and on water.,,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1980,7,13,1980,7,13,,,"Tom Early, Kent Hall, Bev Minn",,"Early, T.. 1981. Results of a bird and mammal survey in the central Aleutian Islands, summer 1980",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,18,,FALSE,,,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1996,6,12,1996,6,30,,,Lisa Spitler (formerly Scharf) <lisa_spitler@fws.gov>,,"Scharf, L. . October 2000. Biological Monitoring in the Central Aleutian Islands, Alaska in 1999: summary appendices",Tufted Puffin,Present,Unspecified,Unknown,,16,Literal (equal to census data value),FALSE,"For Population Status, the author used the term ""common"".",,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1996,6,,1996,8,,,Studies conducted June-August 1996.,"Jeffrey Williams <Jeff_Williams@fws.gov>, Lisa Scharf, Gregory Thomson <greg_thomson@fws.gov>",,"Scharf, L., J.C. Williams, and G.L. Thomson. 1996. Biological monitoring in the Central Aleutian Islands, Alaska in 1996",Tufted Puffin,Unspecified,Breeding,Fair,,107,Manager adjusted observer's data another way.  (See footnote.),FALSE,Total minimum estimate of all areas.,,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1997,7,24,1997,8,21,,"Survey conducted July 24, Aug 8 & 21.","Lisa Scharf, Hollie Walsh",,"Scharf, L. and J.C. Williams. 1997. Biological monitoring at Kasatochi, Koniuji, and Ulak Islands, Alaska in 1997: summary appendices",Tufted Puffin,Unspecified,Breeding,Fair,,44,Literal (equal to census data value),FALSE,Mean of 4 replicate counts.,,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1997,5,27,1997,6,20,,,Lisa Spitler (formerly Scharf) <lisa_spitler@fws.gov>,,"Scharf, L. . October 2000. Biological Monitoring in the Central Aleutian Islands, Alaska in 1999: summary appendices",Tufted Puffin,Present,Unspecified,Unknown,,44,Literal (equal to census data value),FALSE,"For Population Status, the author used the term ""common"".",,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1998,6,14,1998,6,19,,,Lisa Spitler (formerly Scharf) <lisa_spitler@fws.gov>,,"Scharf, L. . October 2000. Biological Monitoring in the Central Aleutian Islands, Alaska in 1999: summary appendices",Tufted Puffin,Present,Unspecified,Unknown,,35,Literal (equal to census data value),FALSE,"For Population Status, the author used the term ""common"".",,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1998,6,14,1998,7,10,,"Census conducted June 14, 19, and or July 10.","Nora Rojek, Lisa Scharf",,"Scharf, L.. 1998. Biological monitoring in the Central Aleutian Islands, Alaska in 1998: summary appendices",Tufted Puffin,Unspecified,Breeding,Fair,,35,Literal (equal to census data value),FALSE,Mean of 2 replicate counts.,,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,1999,6,25,1999,6,25,,,"Jenna Mueller, Lisa Spitler (formerly Scharf) <lisa_spitler@fws.gov>",USFWS,"Scharf, L. . October 2000. Biological Monitoring in the Central Aleutian Islands, Alaska in 1999: summary appendices",Tufted Puffin,Present,Unspecified,Good,,143,Literal (equal to census data value),FALSE,"For Population Status, the author used the term ""common"".",,,,,,,,,,,,,,
Kasatochi Island,AK Map 18 Site 5,-175.51669,52.175,,2000,8,6,2000,8,6,,,"Lisa Spitler (formerly Scharf) <lisa_spitler@fws.gov>, Sarah Syria",USFWS,"Scharf, L.  . December 2000. Biological Monitoring in the Central Aleutian Islands, Alaska in 2000: summary appendices",Tufted Puffin,Present,Unspecified,Good,,90,Literal (equal to census data value),TRUE,"For Population Status, the author used the term ""common"".",,,,,,,,,,,,,,
Kateekuk Island,AK Map 31 Site 5,-156.72829,56.07809,,1981,,,1981,,,,,"Scott Hatch, Martha Hatch",,"Hatch, S.A. and M.A. Hatch. 1983. Populations and habitat use of marine birds in the Semidi Islands, Alaska",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,25000,,2x census data value,TRUE,Counted burrows on two 10x10 meter plots and extrapolated.,,,,,,,,,,,,,,
Katmai Bay,AK Map 42 Site 1,-154.85219,58.02079,,1988,7,30,1988,7,30,,1988 field #2.,"Barbara Blackie, James Litch",,"Litch, J.A., and B.A. Blackie. 1988. 1988 coastal seabird colony monitoring program, Katmai National Park and Preserve, Alaska, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Present,Breeding,Fair,,20,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Katmai Bay,AK Map 42 Site 1,-154.85219,58.02079,,1989,6,26,1989,8,26,,"Census conducted from June 26 through August 26, 1989. Field # 02.","Heidi Herendeen, Christian Martin",,"Martin, C.J.. 1989. Inventory of coastal seabirds in Katmai National Park and Preserve during 1989",Tufted Puffin,Present,Breeding,Fair,46,,2x census data value,TRUE,Minimum estimate.,,,,,,,,,,,,,,
Katmai Bay,AK Map 42 Site 1,-154.85219,58.02079,,1990,7,29,1990,7,29,,1990 field # 02.,Chris Dippel,,"Squibb, R.. 1990. Seabird colonies, Katmai Coast, Kaguyak Bay to Katmai Bay",Tufted Puffin,Present,Breeding,Poor,,4,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Katmai Bay,AK Map 42 Site 1,-154.85219,58.02079,,1993,6,27,1993,7,2,,Census period 27 June - 2 July 1993.,"Paul Gibson, Richard Potts, Dick Sellers",,"Potts, R.R.. 1993. 1993 coastal seabird and sea mammal monitoring report, Katmai National Park and Preserve, Alaska",Tufted Puffin,Present,Breeding,Poor,,7,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Katmai Bay,AK Map 42 Site 1,-154.85219,58.02079,,1994,6,21,1994,6,21,,"Estimated mean from 3 observers, counts within 5-10%.","Buddy Goatcher, Richard Potts, Wangsness",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Poor,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Katmai Bay,AK Map 42 Site 1,-154.85219,58.02079,,1995,6,19,1995,6,19,,,"Alan Bennett, Buddy Goatcher, Gus Johnson, Bud Rice, Dennis Zwiefelhofer",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Present,Breeding,Poor,,6,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Kavalga Island,AK Map 16 Site 6,-178.81149,51.55288,,1977,7,29,1977,7,29,,,"Robert Day, Tom Early, Eric Knudtson",,"Day, R.H., T.J. Early, and E.P. Knudtson. 1978. A bird and mammal survey of the west-central Aleutians, summer, 1977",Tufted Puffin,Unspecified,Breeding,Fair,1200,,2x census data value,TRUE,Pair # = (indiv x 5) ÷ 2.,,,,,,,,,,,,,,
Kekur Island,AK Map 34 Site 15,-152.33087,57.64365,,1975,6,28,1975,6,28,,,"Matthew Dick, Irving Warner",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,250,,FALSE,,,,,,,,,,,,,,,
Kekur Island,AK Map 34 Site 15,-152.33087,57.64365,,1990,8,23,1990,8,23,,,Richard MacIntosh,,"MacIntosh, R.R.. 1990. Survey of seabird colonies in Chiniak Bay, Kodiak Island, Alaska June - August, 1990",Tufted Puffin,Abundant,Breeding,Poor,,,Literal (equal to census data value),FALSE,Birds with fish in bill.,,,,,,,,,,,,,,
Kekur Island,AK Map 34 Site 15,-152.33087,57.64365,,1994,6,6,1994,6,6,,,"David Duffy, Toby Sanborn, Judy Sherburne",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,211,Literal (equal to census data value),TRUE,Most birds on water. Many burrows.,,,,,,,,,,,,,,
Kennoys Islands,AK Map 28 Site 10,-161.09778,55.15809,,1973,6,15,1973,6,15,,,"Edgar Bailey, George Divoky, Leroy Sowl",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Poor,,500,,TRUE,,,,,,,,,,,,,,,
Khvostof Island,AK Map 15 Site 4,178.28515,51.97879,,1972,7,,1972,7,,,,"G Byrd <vernon_byrd@fws.gov>, Daniel Gibson, Palmer Sekora, Clayton White",,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding,Fair,,6540,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Khvostof Island,AK Map 15 Site 4,178.28515,51.97879,,1976,7,1,1976,7,1,,,"Elaine Rhode, John Trapp",,"Trapp, J.L.. 1976. Report on a brief biological survey of Davidof, Khvostof, and Little Kiska Islands: 1-2 July 1976",Tufted Puffin,Unspecified,Breeding,Fair,,150,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
Khvostof Island,AK Map 15 Site 4,178.28515,51.97879,,1979,7,24,1979,7,24,,,"Jonathan Beall, Tom Early, Bill Henry, Andrew Taber",,"Early, T.J.. 1980. Results of bird and mammal surveys of the western Aleutians, summer 1979",Tufted Puffin,Unspecified,Breeding,Fair,1290,,2x census data value,TRUE,Pair # = (indiv x 5) ÷ 2.,,,,,,,,,,,,,,
Khvostof/Pyramid Islands,AK Map 15,178.2902835,51.97349223,Islands were consolidated into a single shape colony to accommodate a study that made a combined population count.,2004,8,1,2004,8,1,1100 -1600,"Good visibility, 15 knot northwest wind, slight chop, birds viewed from within 50 meters of shore unless prohibited by kelp.","G Byrd <vernon_byrd@fws.gov>, Ian Jones <ijones@morgan.ucs.mun.ca>, Jeffrey Williams <Jeff_Williams@fws.gov>",USFWS AMNWR,"Byrd, G. V.; Williams, J.C.; Trimble, J.. August 2004. Cormorant Observations in the Rat Islands, Aleutian Islands, Alaska, in 2004, with Notes on Other Species",Tufted Puffin,Abundant,Breeding,Good,,581,Literal (equal to census data value),TRUE,"For Population Status, the author used the term ""common"".  These birds were counted in association with the counting of cormorants.  Tufted puffins were not the focus of the investigators.",,,,,,,,,,,,,,
Kigul Island,AK Map 22 Site 11,-168.44329,53.04559,,1980,7,21,1980,7,21,,,"Douglas Forsell, Jeffery Kogan, David Nysewander",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81, U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files",Tufted Puffin,Unspecified,Breeding,Fair,800,,2x census data value,TRUE,Estimated burrows.,,,,,,,,,,,,,,
Kigul Islet #2,AK Map 22 Site 7,-168.48309,53.03309,,1980,7,22,1980,7,22,,,"Douglas Forsell, Jeffery Kogan, David Nysewander",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Breeding,Fair,3600,,Literal (equal to census data value),TRUE,Tufted puffin estimate based on 65% assumed occupied.,,,,,,,,,,,,,,
Kigul Islet #5,AK Map 22 Site 9,-168.45748,53.0358,,1980,7,22,1980,7,22,,,"Douglas Forsell, Jeffery Kogan, David Nysewander",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Breeding,Fair,100,,2x census data value,TRUE,Maximum count.,,,,,,,,,,,,,,
Kigul Islet #6,AK Map 22 Site 10,-168.44169,53.03749,,1980,7,23,1980,7,23,,,"Douglas Forsell, Jeffery Kogan, David Nysewander",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Breeding,Fair,16514,,Literal (equal to census data value),TRUE,Tufted puffin estimate based on 80% assumed occupied.,,,,,,,,,,,,,,
Kigul Islet #7,AK Map 22 Site 12,-168.42919,53.0517,,1980,7,24,1980,7,24,,,"Douglas Forsell, Jeffery Kogan, David Nysewander",,"Nysewander, D.R., D.J. Forsell, P.A. Baird, D.J. Shields, G.J. Weiler, and J.H. Kogan. 1982. Marine bird and mammal survey of the eastern Aleutian Islands, summers of 1980-81",Tufted Puffin,Unspecified,Breeding,Fair,5690,,Literal (equal to census data value),TRUE,Assumed 65% burrow occupancy.,,,,,,,,,,,,,,
Kiliktagik Island,AK Map 31 Site 6,-156.65498,56.0769,,1981,,,1981,,,,,"Martha Hatch, Scott Hatch",,"Hatch, S.A. and M.A. Hatch. 1983. Populations and habitat use of marine birds in the Semidi Islands, Alaska",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,,3000,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
King Island,AK Map 111 Site 1,-168.06666,64.96876,,1972,6,16,1972,6,16,,,Carl Grauvogel,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Unspecified,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
King Island,AK Map 111 Site 1,-168.06666,64.96876,,1973,6,27,1973,6,27,,,"James Bartonek, David Cline",,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Unknown,,,Literal (equal to census data value),FALSE,,,,,,,,,,,,,,,
King Island,AK Map 111 Site 1,-168.06666,64.96876,,1976,,,1976,,,,,William Drury,,U.S. Fish & Wildlife Service. 2002. Beringian Seabird Colony Catalog -- Computer Database and Colony Status Record files,Tufted Puffin,Unspecified,Breeding,Fair,,2300,"Observer provided a range (e.g. ""100 to 250"").  Catalog data are midpoint of range.",TRUE,"700-4,000 birds.",,,,,,,,,,,,,,
Kiska Island,AK Map 14 Site 20,177.50002,51.975,Encompasses entire island.,1978,8,,1978,8,,,,"Robert Day, Tom Early, Brian Lawhead, Elaine Rhode",,"Day, R.H., B.E. Lawhead, T.J. Early, and E.B. Rhode. 1979. Results of a marine bird and mammal survey of the western Aleutian Islands: summer 1978",Tufted Puffin,Unspecified,Breeding and Roosting,Fair,9150,,2x census data value,TRUE,Summary for summers 1972-1984.,,,,,,,,,,,,,,
Kiska Island,AK Map 14 Site 20,177.50002,51.975,Encompasses entire island.,1985,6,1,1985,6,1,Unknown,Circumnavigation of island.,"Jonathan Andrew, Fredrick Deines, Greg McClellan, Liz Sharpe",USFWS,"Deines, F.G.. 10 January 1986. Pretreatment survey and monitoring of birds and mammals of Kiska Island, June 1985 (in support of the EPA experimental compound 1080 use permit G704-EUP-28)",Tufted Puffin,Unspecified,Unspecified,Good,,50,Literal (equal to census data value),TRUE,No information provided on site use or breeding stage.,,,,,,,,,,,,,,
Kiska Island (Sirius Pt),AK Map 14 Site 2,177.60827,52.13656,,1972,7,,1972,7,,,,"G Byrd <vernon_byrd@fws.gov>, Daniel Gibson, Palmer Sekora, Clayton White",,"Sekora, P.. 1973. Aleutian Islands National Wildlife Refuge wilderness study report",Tufted Puffin,Unspecified,Breeding,Fair,,1000,Literal (equal to census data value),TRUE,,,,,,,,,,,,,,,
Kiska Island (Sobaka Rk),AK Map 14 Site 9,177.33331,51.80689,,1978,8,10,1978,8,10,,,"Robert Day, Tom Early, Brian Lawhead, Elaine Rhode",,"Day, R.H., B.E. Lawhead, T.J. Early, and E.B. Rhode. 1979. Results of a marine bird and mammal survey of the western Aleutian Islands: summer 1978",Tufted Puffin,Unspecified,Breeding,Fair,150,,2x census data value,TRUE,,,,,,,,,,,,,,,
